Row Labels,Sum of new_cases,Sum of new_cases_smoothed
01-Jan,,
02-Jan,,
03-Jan,,
04-Jan,,
05-Jan,,
06-Jan,,
07-Jan,,
08-Jan,,
09-Jan,,
10-Jan,,
11-Jan,,
12-Jan,,
13-Jan,,
14-Jan,,
15-Jan,,
16-Jan,,
17-Jan,,
18-Jan,,
19-Jan,,
20-Jan,,
21-Jan,,
22-Jan,0,
23-Jan,192,
24-Jan,570,
25-Jan,978,
26-Jan,1358,
27-Jan,1612,
28-Jan,5302,1428.285
29-Jan,1168,1595.285
30-Jan,4132,2158.001
31-Jan,3372,2558.572
01-Feb,4218,3022.142
02-Feb,9498,4185.572
03-Feb,6200,4839.998
04-Feb,8020,5228.429
05-Feb,7490,6131.859
06-Feb,6320,6445.427
07-Feb,7064,6972.858
08-Feb,5468,7151.429
09-Feb,6060,6659.858
10-Feb,5218,6509.43
11-Feb,4084,5947.144
12-Feb,836,4990.858
13-Feb,30306,8433.716
14-Feb,13052,9289.144
15-Feb,4284,9120.001
16-Feb,4368,8878.287
17-Feb,4070,8714.286
18-Feb,3764,8668.572
19-Feb,996,8691.428
20-Feb,1120,4521.571
21-Feb,1254,2834.288
22-Feb,3522,2724
23-Feb,756,2205.857
24-Feb,1116,1781.285
25-Feb,1692,1489.145
26-Feb,1942,1619.286
27-Feb,2712,1842.859
28-Feb,2762,2055.857
29-Feb,3772,2084.431
01-Mar,4734,2662.141
02-Mar,3948,3069.855
03-Mar,5182,3569.86
04-Mar,4606,3950.429
05-Mar,5604,4366.144
06-Mar,7808,5084.86
07-Mar,8184,5715.287
08-Mar,7872,6162.287
09-Mar,8334,6788.287
10-Mar,9638,7420.001
11-Mar,15306,8949.571
12-Mar,11572,9807.287
13-Mar,28748,12785.716
14-Mar,22104,14773.426
15-Mar,22532,16876.565
16-Mar,29610,19912.289
17-Mar,31878,23083.714
18-Mar,39100,26476.285
19-Mar,54090,32560.709
20-Mar,61534,37253.002
21-Mar,64000,43241.004
22-Mar,69652,49969.428
23-Mar,85700,57981.436
24-Mar,82314,65191.722
25-Mar,102024,74178.142
26-Mar,125660,84404.716
27-Mar,130106,94202.284
28-Mar,134492,104274.721
29-Mar,118504,111252.713
30-Mar,130550,117658.572
31-Mar,153692,127860.005
01-Apr,152866,135122.998
02-Apr,162426,140376.152
03-Apr,166460,145569.573
04-Apr,118022,143216.289
05-Apr,141838,146549.575
06-Apr,143858,148451.426
07-Apr,140948,146630.294
08-Apr,168706,148893.858
09-Apr,171336,150166.579
10-Apr,169218,150560.442
11-Apr,148972,154982.289
12-Apr,238732,168824.286
13-Apr,139238,168164.291
14-Apr,167470,171953.149
15-Apr,163748,171244.858
16-Apr,193852,174461.425
17-Apr,175264,175325.141
18-Apr,154564,176123.999
19-Apr,152394,163789.999
20-Apr,149286,165225.431
21-Apr,151690,162971.145
22-Apr,163386,162919.435
23-Apr,167780,159194.855
24-Apr,171100,158599.997
25-Apr,166756,160341.714
26-Apr,143860,159122.58
27-Apr,139354,157703.716
28-Apr,151016,157607.426
29-Apr,156970,156690.856
30-Apr,167634,156670.006
01-May,175436,157289.43
02-May,159158,156195.001
03-May,152944,157485.285
04-May,153998,159562.719
05-May,160962,160974.571
06-May,181086,164459.722
07-May,178116,165957.135
08-May,180748,166716
09-May,169740,168227.719
10-May,150330,167854.289
11-May,153534,167788.002
12-May,168436,168855.717
13-May,171090,167427.715
14-May,192878,169536.569
15-May,192528,171219.428
16-May,189252,174006.857
17-May,155416,174733.435
18-May,177586,178169.426
